"","Assertive","Competitive","Energetic","Influencing","Initiative","Persistence","Sociability","Though_mind","Achievement_Oriented","Dependability","Detail_Oriented","Methodical","Rule_Follower","Team_Oriented","Cooperation","Concern_for_Others","Adaptable","Optimism","Self_control","Stress_Tolerance","Analytical_Thinking","Creative","Learning_Orientation","Principled","Multitasking","Mindful","Sincerity","Patience","Hexaco","Extraversion","Conscientiousness","Agreeableness","Neuroticism","Openess","Other","Hex"
"Assertive",1,0.697252610533512,0.815739347330931,0.782412895553103,0.760760976880571,0.756496337043235,0.723538536983669,0.608341146513217,0.766616298111386,0.72013309960856,0.697984830857817,0.666024169586665,0.590102827096035,0.699962335122092,0.621761454363744,0.688858407234023,0.7630272721123,0.722655732571166,0.692727967686634,0.670425335220707,0.655698768799984,0.619817993164935,0.717374920935133,0.577949810129123,0.78266496614595,0.712115722372903,0.667427287473406,0.624099093262591,0.621006447050563,0.912210842644553,0.857600614650473,0.855096360029994,0.885453364952244,0.795984842543636,0.936005704299986,0.74501216796906
"Competitive",0.697252610533512,1,0.683519800650888,0.655595084563433,0.637452628663541,0.633879225246136,0.606263407766796,0.509737847699725,0.64235888703336,0.603409942522807,0.584851587711551,0.5580712872489,0.494455696001356,0.586508567143677,0.520982917802914,0.577204425322729,0.639351590225314,0.60552369317779,0.580446786007951,0.561759087606521,0.549419484549368,0.519354463547851,0.601098824709024,0.484272507263789,0.655806298159953,0.59669206614748,0.559246980025488,0.522941659255513,0.520350286252304,0.76435466225345,0.718595962156236,0.716497610980006,0.741934184587381,0.666967215295837,0.784292721081253,0.624256473834297
"Energetic",0.815739347330931,0.683519800650888,1,0.767002802593935,0.745777331493247,0.74159668630465,0.709288009956534,0.596359501435616,0.751517328647752,0.705949644720464,0.684237599455139,0.652906422646761,0.578480396698094,0.68617615558255,0.609515488244539,0.675290926238357,0.747998990676168,0.708422592908348,0.679084273368533,0.657220904674315,0.642784386844052,0.607610304683926,0.703245790036324,0.566566740715975,0.76724990850472,0.698090174555604,0.654281905282102,0.611807085938108,0.608775351254875,0.894244300984249,0.840709654303685,0.838254722485417,0.868013827922022,0.78030744191872,0.917570508515825,0.730338704853401
"Influencing",0.782412895553103,0.655595084563433,0.767002802593935,1,0.715309128192366,0.711299280294268,0.680310551975929,0.57199565747998,0.720814621839102,0.677108573281003,0.656283558207245,0.626232394379072,0.554846990870538,0.658142916000642,0.584614165789904,0.647702394971693,0.717440023066972,0.679480490926713,0.651340767598526,0.630370611307109,0.616523887161414,0.582786817150787,0.674515182659973,0.543420058843668,0.735904458317735,0.66957019618871,0.627551682648078,0.586812141886968,0.583904266571381,0.857710585071366,0.806363058365927,0.804008421043844,0.832551739359809,0.748428535476275,0.880083816958204,0.700501235680906
"Initiative",0.760760976880571,0.637452628663541,0.745777331493247,0.715309128192366,1,0.691615307475959,0.66148413841965,0.556166670602095,0.700867328461481,0.658370768926704,0.638122049994401,0.608902499958537,0.539492563572231,0.639929953288576,0.568435983599355,0.629778355555117,0.697586115852311,0.660677047869046,0.633316042535453,0.612926198916734,0.599462658824865,0.566659203661681,0.655849145889174,0.528381852052882,0.715539579910426,0.651041003334366,0.610185279214887,0.57057313452346,0.567745729609371,0.833974933552731,0.784048360513291,0.781758883691619,0.809512315222314,0.727717074974491,0.855729025085404,0.681116080002651
"Persistence",0.756496337043235,0.633879225246136,0.74159668630465,0.711299280294268,0.691615307475959,1,0.657776020240353,0.553048936370544,0.69693843775799,0.654680103534776,0.634544893964858,0.605489141574902,0.53646830030364,0.636342662595657,0.565249470602101,0.626247972234451,0.693675618823618,0.656973454041837,0.629765827807437,0.609490284661555,0.596102217880191,0.563482650857885,0.652172616098817,0.525419872713681,0.7115284401564,0.647391426814361,0.606764729884706,0.567374641181201,0.564563086007043,0.829299874193676,0.779653177302983,0.777376534728014,0.804974387314304,0.723637671163623,0.850932017613611,0.67729790996383
"Sociability",0.723538536983669,0.606263407766796,0.709288009956533,0.680310551975929,0.66148413841965,0.657776020240353,1,0.528954601242238,0.666575359233075,0.626158067275343,0.606900075715174,0.579110177012747,0.513096323317198,0.608619522090879,0.54062360247339,0.59896462075481,0.663454689478817,0.628351504823442,0.602329216126873,0.582937004815369,0.570132207518017,0.538933756653593,0.62375982196723,0.502529235622294,0.680529728174495,0.619186931748834,0.580330192569037,0.54265618708266,0.53996712116423,0.793170288226446,0.745686517750091,0.743509060230117,0.769904574532566,0.692111403931456,0.813859997661201,0.647790497958907
"Though_mind",0.608341146513217,0.509737847699725,0.596359501435616,0.57199565747998,0.556166670602095,0.553048936370544,0.528954601242238,1,0.56044729830674,0.52646500092832,0.510273149262623,0.486907788643963,0.43140425788481,0.511718835879295,0.454548811638752,0.503601129014998,0.557823482546893,0.528309212735446,0.506430034044337,0.490125332277038,0.479359236664198,0.453128012758113,0.524448589602892,0.422519597407121,0.572179937781731,0.520603767059044,0.487933560768516,0.456257780530365,0.453996851277465,0.66688655525032,0.626962860939884,0.625132084918324,0.64732506651195,0.581917649801752,0.684282175407658,0.54465324801018
"Achievement_Oriented",0.766616298111386,0.64235888703336,0.751517328647752,0.720814621839102,0.700867328461481,0.69693843775799,0.666575359233075,0.56044729830674,1,0.750620902021776,0.727534956552889,0.694221197741351,0.615085623201038,0.723428753455184,0.642606167942434,0.71195256351259,0.747664968483875,0.708106243728065,0.678781025342039,0.656927419829902,0.706033684210698,0.667398509921269,0.772444424922645,0.563402125898309,0.762964357915854,0.694190922531608,0.507164077496735,0.474239886264289,0.471889848900542,0.840393757970384,0.893908289027791,0.883763686674174,0.867626212583823,0.857088861071793,0.912445327281513,0.566119210262176
"Dependability",0.72013309960856,0.603409942522807,0.705949644720464,0.677108573281003,0.658370768926704,0.654680103534776,0.626158067275343,0.52646500092832,0.750620902021776,1,0.68342142559026,0.652127621308161,0.577790372382702,0.67956419900682,0.603642229741281,0.668783859147863,0.702330869496854,0.665170758049778,0.637623652065921,0.617095123369299,0.663223866608726,0.626931306845118,0.725607842365586,0.529240664787238,0.716702592040338,0.652099181812826,0.476412567848609,0.445484710010551,0.443277165382136,0.789437119077484,0.83970683708297,0.830177345008246,0.815018354434779,0.805119927249344,0.8571198960645,0.531793000798969
