,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
Detail_Oriented,0.756308678,0.270702094,0.23940323,0.149178353,0.112440824,0.106901757,0.023136025
Learning_Orientation,0.746233885,0.30488289,0.169977509,0.278827147,0.203116515,-0.036303953,0.203757464
Dependability,0.740683568,0.327497321,0.335541354,0.137472045,0.075145487,0.077216607,-0.013359939
Analytical_Thinking,0.710281949,0.070992057,-0.121808259,0.237220105,0.226767779,0.156807765,0.170665596
Methodical,0.690886386,0.077426148,0.252969934,0.043203671,0.122505925,0.023165661,-0.284105276
Rule_Follower,0.663915788,-0.100531877,-0.384991414,0.062948224,0.174988332,-0.012481588,-0.216281337
Initiative,0.593196419,0.548508232,0.412413369,0.093628516,0.070616062,0.157981299,0.020793145
Self_control,0.592258349,0.200099601,0.260404495,0.138541319,-0.091990686,0.352712435,0.15454165
Adaptable,-0.062490601,0.682565374,0.238602077,0.303620428,0.070990032,0.150330286,0.291189745
Multitasking,0.158335689,0.678851451,0.228376483,0.223866911,0.006627056,0.13225318,0.066482156
Achievement_Oriented,0.576465909,0.645780193,0.296599233,0.129378673,0.078751379,0.022981968,0.048491839
Optimism,0.274699356,0.63037021,0.289546151,0.344365629,0.17851754,0.275091262,-0.025274896
Energetic,0.341956243,0.541408738,0.44517534,0.134765345,-0.064614903,0.219994828,-0.087689506
Sociability,0.03872713,0.528881261,0.211573543,0.677283899,0.054439189,0.038492094,-0.099179739
Persistence,0.566695203,0.52851246,0.409222369,0.182616443,0.124156589,0.134032848,0.008857042
Engageable,0.46548379,0.519427026,0.327726236,0.322878172,0.104491727,0.001637478,-0.088559819
Stress_Tolerance,0.19274151,0.463696855,0.095893465,0.120505604,0.206565579,0.785548127,-0.019523259
Though_mind,0.015782343,0.068150085,0.87383213,-0.06881668,-0.014244362,0.047999842,0.083195221
Competitive,0.121344784,0.344336717,0.723427468,0.220522552,-0.155639567,-0.043278494,-0.089599752
Influencing,0.244738316,0.389743401,0.703052374,0.343862418,0.008746895,0.090269316,-0.053243622
Assertive,0.353190138,0.414780111,0.657725558,0.283016271,0.195198068,0.078875923,-0.076686675
Creative,0.288359353,0.366145363,0.571436155,0.275718471,0.037801249,0.054090119,0.341009646
Principled,0.561759316,0.132124861,0.311436572,0.178092962,0.418956903,0.107859768,0.107810116
Team_Oriented,0.094703624,0.248206356,0.18953896,0.809076474,-0.008990203,0.030489565,0.041669584
Cooperation,0.296434372,0.101882729,0.02639499,0.746845068,0.051582547,0.092469282,0.008533106
Concern_for_Others,0.551508083,0.399699706,0.194117932,0.52428043,0.078875045,0.033533118,0.15020901
Sincerity,0.283670696,0.080734324,-0.037656278,-0.012593266,0.703118762,0.095935107,-0.023666226
Hexaco,0.40824416,0.204529457,-0.469512104,0.383042019,0.48923233,0.023980159,0.07107784
Mindful,0.560328149,0.383192479,-0.225266325,0.131318288,0.292225201,0.133798464,-0.065868748
Patience,0.284804147,0.348462321,-0.062525746,0.37946265,0.105054638,0.303115845,0.133950038
Social_Desirability,0.21894834,0.351492938,0.038724745,0.129461532,0.103284483,0.095598601,-0.069382258
